Common Course Title,Common Course Prefix,Common Course Number,Abilene Christian University,Alvin Community College,Amarillo College,Angelina College,Angelo State University,Austin Community College,Baylor University,Blinn College,Brazosport College,Central Texas College,Cisco College,Clarendon College,Coastal Bend College,College of the Mainland,Collin County Community College District,Dallas Baptist University,Dallas County Community College District,DCCCD Brookhaven College,DCCCD Cedar Valley College,DCCCD Eastfield College,DCCCD El Centro College,DCCCD Mountain View College,DCCCD North Lake College,DCCCD Richland College,Del Mar College,East Texas Baptist University,El Paso Community College District,Frank Phillips College,Galveston College,Grayson College,Hardin-Simmons University,Hill College,Houston Baptist University,Houston Community College System,Howard College,Howard Payne University,Huston-Tillotson University,Jacksonville College,Kilgore College,Lamar Institute of Technology-Beaumont,Lamar State College- Port Arthur,Lamar State College-Orange,Lamar University,Laredo Community College,Lee College,LeTourneau University,Lon Morris College (Closed in 2012),Lone Star College System,Lone Star College System-CyFair,Lone Star College System-Kingwood,Lone Star College System-Montgomery,Lone Star College System-North Harris,Lone Star College System-Tomball,McLennan Community College,McMurry University,Midland College,Midwestern State University,Navarro College,North Central Texas College,Northeast Lakeview College,Northeast Texas Community College,Northwest Vista College,Odessa College,Our Lady of the Lake University,Palo Alto College,Panola College,Paris Junior College,Prairie View A&M University,Ranger College,Sam Houston State University,San Antonio College,San Jacinto College Central,San Jacinto College District,San Jacinto College North,San Jacinto College South,South Plains College,South Texas College,Southern Methodist University,Southwest Collegiate Institute for the Deaf,Southwest Texas Junior College,Southwestern University,St. Mary's University,St. Philip's College,Stephen F. Austin State University,Sul Ross State University,Tarleton State University,Tarrant County College District,Temple College,Texarkana College,Texas A&M International University,Texas A&M University,Texas A&M University-Commerce,Texas A&M University-Corpus Christi,Texas A&M University-Galveston,Texas A&M University-Kingsville,Texas A&M University-Texarkana,Texas Southern University,Texas Southmost College,Texas State Technical College System,Texas State Technical College-Harlingen,Texas State Technical College-Marshall,Texas State Technical College-Waco,Texas State Technical College-West Texas,Texas State University,Texas Tech University,Texas Wesleyan University,Texas Woman's University,Trinity Valley Community College,Tyler Junior College,University of Houston,University of Houston-Clear Lake,University of Houston-Downtown,University of Houston-Victoria,University of Mary Hardin-Baylor,University of North Texas,University of North Texas at Dallas,University of St. Thomas,University of Texas - Rio Grande Valley,University of Texas at Arlington,University of Texas at Austin,University of Texas at Dallas,University of Texas at El Paso,University of Texas at San Antonio,University of Texas at Tyler,University of Texas Health Science Center at Houston,University of Texas Health Science Center at San Antonio,University of Texas of the Permian Basin,University of the Incarnate Word,Vernon College,Victoria College,Wayland Baptist University,Weatherford College,West Texas A&M University,Western Texas College,Wharton County Junior College,Wiley College
American Minority Studies,HUMA,2319,,,,,,,,,,,,,,,,,HUMA 2319,,,,,,,,,,,,,,,,,HUMA 2319,,,,,,,,,,,,,,HUMA 2319,,,,,,HUMA 2319,,,,,,,,HUMA 2319,HUMA 2319,,,,HUMA 2319,,,,HUMA 2319,,,,,HUMA 2319,HUMA 2319,,,,,,HUMA 2319,,,,HUMA 2319,,,,,,,,,,,,,,,,,,,,,,HUMA 2319,,,HIST 2309,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
World Cultures,HUMA,2323,,,HUMA 2323,,,,,,,,HUMA 2323,,,,,,HUMA 2323,,,,,,,,,,,,,,,,,HUMA 2323,HUMA 2323,,,HUMA 2323,,,,,,,,,,,,,,,,,,,,,,HUMA 2323,,HUMA 2323,HUMA 2323,,HUMA 2323,,,,HUMA 2323,,HUMA 2323,,,,,HUMA 2323,HUMA 2323,,,,,,HUMA 2323,,,,HUMA 2323,,,,ANTH 201,,,ANTH 201,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,CSH 1213,,,,,,,,,,,,,
Beginning Italian I,ITAL,1411,,,,,,,ITA 1401,,,ITAL 1411,,,,,ITAL 1411,,ITAL 1411,,,,,,,,,,,,,,,,,,,,,,,,,,,ITAL 1411,,,,ITAL 1411,,,,,,,,,,,,,,,,,,,,,,,ITAL 1411,,,,,,,,,,FLN21 144,,,,,,,,,ITAL 1311,ITAL 101,,,ITAL 101,,,,,,,,,,ITAL 1410,ITAL 1301,,,,,,,,,ITAL 1410,ITAL 1010,,ITAL 1331,,MODL 1441,ITL 406,,,ITL 1014,,,,,,,,,,,,,
Beginning Italian II,ITAL,1412,,,,,,,ITA 1402,,,ITAL 1412,,,,,ITAL 1412,,ITAL 1412,,,,,,,,,,,,,,,,,,,,,,,,,,,ITAL 1412,,,,ITAL 1412,,,,,,,,,,,,,,,,,,,,,,,ITAL 1412,,,,,,,,,,FLN21 154,,,,,,,,,ITAL 1312,ITAL 102,,,ITAL 102,,,,,,,,,,ITAL 1420,ITAL 1302,,,,,,,,,ITAL 1420,ITAL 1020,,ITAL 1332,,MODL 1442,ITL 407,,,ITL 1024,,,,,,,,,,,,,
Intermediate Italian I,ITAL,2311,,,,,,,,,,ITAL 2311,,,,,,,ITAL 2311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITAL 2311,,,,,,,,,,,,,,,,,,,,,,,ITAL 2311,,,,,,,,,,FLN21 164,,,,,,,,,,ITAL 201,,,ITAL 201,,,,,,,,,,ITAL 2310,ITAL 2301,,,,,,,,,ITAL 2310,ITAL 2040,,ITAL 2331,,MODL 2313,ITL 312K,,,ITL 2013,,,,,,,,,,,,,
Intermediate Italian II,ITAL,2312,,,,,,,,,,ITAL 2312,,,,,,,ITAL 2312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITAL 2312,,,,,,,,,,,,,,,,,,,,,,,ITAL 2312,,,,,,,,,,FLN21 174,,,,,,,,,,ITAL 202,,,ITAL 202,,,,,,,,,,ITAL 2320,ITAL 2302,,,,,,,,,ITAL 2320,ITAL 2050,,ITAL 2332,,MODL 2314,ITL 312L,,,ITL 2023,,,,,,,,,,,,,
Beginning Japanese I,JAPN,1411,,,,,,,JPN 1401,,,JAPN 1411,,,,,JAPN 1411,,JAPN 1411,,,,,,,,JAPN 1411,,,,,,,,,JAPN 1411,,,,,,,,,,,,,,JAPN 1411,,,,,,,,,,,,,,JAPN 1411,,,,,,,,,JAPN 1411,,,,,,,,,,FLN21 144,,,,,,,,,,JAPN 101,,,JAPN 101,,,,,,,,,,JAPA 1410,JAPN 1501,,,,JAPN 1411,,,,,JAPN 1410,JAPN 1010,,JPNS 1331,,MODL 1441,JPN 406,,,JPN 1014,,,,,,,,,,,,,
Beginning Japanese II,JAPN,1412,,,,,,,JPN 1402,,,JAPN 1412,,,,,JAPN 1412,,JAPN 1412,,,,,,,,JAPN 1412,,,,,,,,,JAPN 1412,,,,,,,,,,,,,,JAPN 1412,,,,,,,,,,,,,,JAPN 1412,,,,,,,,,JAPN 1412,,,,,,,,,,FLN21 154,,,,,,,,,,JAPN 102,,,JAPN 102,,,,,,,,,,JAPA 1420,JAPN 1502,,,,JAPN 1412,,,,,JAPN 1420,JAPN 1020,,JPNS 1332,,MODL 1442,JPN 407,,,JPN 1024,,,,,,,,,,,,,
Intermediate Japanese I,JAPN,2311,,,,,,JAPN 2311,,,,JAPN 2311,,,,,JAPN 2311,,JAPN 2311,,,,,,,,JAPN 2311,,,,,,,,,JAPN 2311,,,,,,,,,,,,,,JAPN 2311,,,,,,,,,,,,,,,,,,,,,,,JAPN 2311,,,,,,,,,,FLN21 164,,,,,,,,,,,,,,,,,,,,,,,JAPA 2310,JAPN 2301,,,,JAPN 2311,,,,,JAPN 2310,JAPN 2040,,JPNS 2331,,MODL 2313,JPN 312K,JAPN 2311,,JPN 2013,,,,,,,,,,,,,
Intermediate Japanese II,JAPN,2312,,,,,,JAPN 2312,,,,JAPN 2312,,,,,JAPN 2312,,JAPN 2312,,,,,,,,JAPN 2312,,,,,,,,,JAPN 2312,,,,,,,,,,,,,,JAPN 2312,,,,,,,,,,,,,,,,,,,,,,,JAPN 2312,,,,,,,,,,FLN21 174,,,,,,,,,,,,,,,,,,,,,,,JAPA 2320,JAPN 2302,,,,JAPN 2312,,,,,JAPN 2320,JAPN 2050,,JPNS 2332,,MODL 2314,JPN 312L,JAPN 2312,,JPN 2023,,,,,,,,,,,,,
Beginning Korean I,KORE,1411,,,,,,,KOR 1401,,,KORE 1411,,,,,,,KORE 1411,,,,,,,,,,,,,,,,,KORE 1411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLN21 144,,,,,,,,,,,,,,,,,,,,,,,,CMLL 1301,,,,,,,,,,,,KORE 1331,,KORE 1441,KOR 406,,,KOR 1014,,,,,,,,,,,,,
Beginning Korean II,KORE,1412,,,,,,,KOR 1402,,,KORE 1412,,,,,,,KORE 1412,,,,,,,,,,,,,,,,,KORE 1412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLN21 154,,,,,,,,,,,,,,,,,,,,,,,,CMLL 1302,,,,,,,,,,,,KORE 1332,,KORE 1442,KOR 407,,,KOR 1024,,,,,,,,,,,,,
Intermediate Korean I,KORE,2311,,,,,,,,,,KORE 2311,,,,,,,KORE 2311,,,,,,,,,,,,,,,,,KORE 2311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLN21 164,,,,,,,,,,,,,,,,,,,,,,,,CMLL 2301,,,,,,,,,,,,KORE 2331,,KORE 2313,KOR 312K,,,,,,,,,,,,,,,,
Intermediate Korean II,KORE,2312,,,,,,,,,,KORE 2312,,,,,,,KORE 2312,,,,,,,,,,,,,,,,,KORE 2312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLN21 174,,,,,,,,,,,,,,,,,,,,,,,,CMLL 2302,,,,,,,,,,,,KORE 2332,,KORE 2314,KOR 312L,,,,,,,,,,,,,,,,
"Foreign Language I (1st semester, 3 SCH version)",LANG,1311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LANG 1999,,,,LANG 1311,,,,,,,,,,,,,,,
"Foreign Language II (2nd semester, 3 SCH version)",LANG,1312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LANG 1999,,,,LANG 1312,,,,,,,,,,,,,,,
"Foreign Language I (1st semester, 4 SCH version)",LANG,1411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LANG 1999,,,,,,,,,,,,,,,,,,,
"Foreign Language II (2nd semester, 4 SCH version)",LANG,1412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LANG 1999,,,,,,,,,,,,,,,,,,,
"Foreign Language I (1st semester, 5 SCH version)",LANG,1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LANG 1999,,,,,,,,,,,,,,,,,,,
"Foreign Language II (2nd semester, 5 SCH version)",LANG,1512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LANG 1999,,,,,,,,,,,,,,,,,,,
Beginning Latin I,LATI,1411,FLLA 111,,LATI 1411,,LATI 1411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LATI 1411,,,,,LATI 1411,,,,,,,,,,,,,,,,,,,,LAT14 144,,,,,,,,,LATI 1311,CLAS 121,,,CLAS 121,,,,,,,,,,,LAT 1501,,,,,,,,,,LATI 1010,,CLASS 1331,,LATN 1441,LAT 406,,,LAT 1114,,,,,,,,LATN 1401,,,,,
Beginning Latin II,LATI,1412,FLLA 112,,LATI 1412,,LATI 1412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LATI 1412,,,,,LATI 1412,,,,,,,,,,,,,,,,,,,,LAT14 154,,,,,,,,,LATI 1312,CLAS 122,,,CLAS 122,,,,,,,,,,,LAT 1502,,,,,,,,,,LATI 1020,,CLASS 1332,,LATN 1442,LAT 407,,,LAT 1124,,,,,,,,LATN 1402,,,,,
Intermediate Latin I,LATI,2311,FLLA 221,,LATI 2311,,LATI 2311,LATI 2311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LATI 2311,,,,LATI 2311,,,,,LATI 2311,,,,,,LATI 2311,,,,,LATI 2311,,,,,LAT14 164,,,LAT 231,,,,,,,CLAS 221,,,CLAS 221,,,,,,,,,,,LAT 2301,,,,,LATN 2301,,,,,LATI 2040,,CLASS 2331,,LATN 2313,LAT 311,,,LAT 2113,LATN 2301,,,,,,,LATN 2301,,,,,
Intermediate Latin II,LATI,2312,FLLA 222,,LATI 2312,,LATI 2312,LATI 2312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LATI 2312,,,,LATI 2312,,,,,LATI 2312,,,,,,LATI 2312,,,,,LATI 2312,,,,,LAT14 003,,,LAT 232,,,,,,,CLAS 222,,,CLAS 222,,,,,,,,,,,LAT 2302,,,,,LATN 2302,,,,,LATI 2050,,CLASS 2332,,LATN 2314,LAT 312K,,,LAT 2123,LATN 2302,,,,,,,LATN 2302,,,,,
College Algebra (3 SCH version),MATH,1314,MATH 109,MATH 1314,MATH 1314,MATH 1314,MATH 1314,MATH 1314,,MATH 1314,MATH 1314,MATH 1314,MATH 1314,MATH 1314,MTH 325,MATH 1314,MATH 1314,MATH 1303,MATH 1314,,,,,,,,MATH 309,MATH 1314,MATH 1314,,MATH 1314,MATH 1314,MATH 1310,MATH 1314,MATH 1313,MATH 1314,MATH 1314,MAT 1351,,MATH 1314,MATH 1314,MATH 1314,,MATH 1314,MATH 1314,MATH 1314,MATH 1314,MATH 1203,,MATH 1314,,,,,,MATH 1314,MATH 1311,MATH 1314,MATH 1233,MATH 1314,MATH 1314,MATH 1314,MATH 1314,MATH 1314,MATH 1314,,MATH 1314,MTH 301,MATH 1314,,MATH 1314,,MATH 1314,,MATH 1314,,,MATH 1314,,,MATH 1303,MATH 1314,,,MATH 1314,MTH 138,MATH 1314,MATH 1314,MATH 1314,MATH 1314,MATH 1314,MATH 1314,MATH 102,MATH 1314,MATH 1314,MATH 102,MATH 1314,MATH 1314,MATH 133,MATH 1314,,MATH 1314,,,,MATH 1315,MATH 1320,MAT 1302,MATH 1303,MATH 1314,MATH 1314,MATH 1310,MATH 1314,MATH 1301,MATH 1314,MATH 1306,MATH 1100,MATH 1100,MATH 1331,MATH 1314,MATH 1302,M 301,MATH 1314,,MAT 1073,MATH 1314,,,MATH 1314,MATH 1304,MATH 1314,MATH 1314,MATH 1304,MATH 1314,MATH 1314,MATH 1314,MATH 1314,MATH 1330
Plane Trigonometry,MATH,1316,,,MATH 1316,MATH 1316,MATH 1316,MATH 1316,,MATH 1316,MATH 1316,MATH 1316,MATH 1316,MATH 1316,MTH 326,MATH 1316,MATH 1316,MATH 1304,MATH 1316,,,,,,,,MATH 304,MATH 1316,,,,MATH 1316,MATH 1311,MATH 1316,MATH 1323,MATH 1316,MATH 1316,,,MATH 1316,MATH 1316,,,MATH 1316,MATH 1316,MATH 1316,MATH 1316,MATH 1252,,MATH 1316,,,,,,MATH 1316,MATH 1312,MATH 1316,MATH 1433,MATH 1316,MATH 1316,,MATH 1316,MATH 1316,MATH 1316,,MATH 1316,MTH 302,MATH 1316,,MATH 1316,MATH 1316,MATH 1316,,MATH 1316,,,MATH 1316,MATH 1316,,MATH 1301,MATH 1316,,,MATH 1316,MTH 133,MATH 1316,MATH 1316,MATH 1316,MATH 1316,MATH 1316,MATH 1316,,,MATH 1316,,MATH 1316,MATH 1316,MATH 134,MATH 1316,,MATH 1316,,,,MATH 1317,MATH 1321,,MATH 1313,,MATH 1316,,,MATH 1302,,MATH 1307,MATH 1600,MATH 1600,MATH 1331,,MATH 1303,M 304E,MATH 1316,,,MATH 1316,,,,,MATH 1316,MATH 1316,MATH 1305,MATH 1316,MATH 1316,MATH 1316,MATH 1316,MATH 1340
Math for Business & Social Sciences,MATH,1324,MATH 130,MATH 1324,MATH 1324,MATH 1324,MATH 1324,MATH 1324,,MATH 1324,MATH 1324,MATH 1324,MATH 1324,MATH 1324,MTH 327,MATH 1324,MATH 1324,MATH 1307,MATH 1324,,,,,,,,MATH 608A,MATH 2313,MATH 1324,,MATH 1324,MATH 1324,,MATH 1324,MATH 1314,MATH 1324,MATH 1324,MAT 1365,,,MATH 1324,,,MATH 1324,,MATH 1324,MATH 1324,,,MATH 1324,,,,,,MATH 1324,,MATH 1324,MATH 1203,MATH 1324,MATH 1324,MATH 1324,MATH 1324,MATH 1324,MATH 1324,,MATH 1324,MTH 308,MATH 1324,,,MATH 1324,MATH 1324,,MATH 1324,,,MATH 1324,MATH 1324,,,MATH 1324,BUS30 154,,MATH 1324,MTH 143,,MATH 1324,MATH 1324,MATH 1324,MATH 1324,MATH 1324,MATH 140,MATH 1324,MATH 1324,MATH 140,MATH 1324,MATH 1324,,MATH 1324,,MATH 1324,,,,MATH 1319,MATH 1330,,MATH 2203,MATH 1324,MATH 1324,MATH 1313,MATH 1324,MATH 1305,MATH 1324,BQBA 2301,MATH 1180,MATH 1180,MATH 1351,MATH 1324,MATH 1315,M 303D,,MATH 1320,,MATH 1324,,,MATH 1324,,,MATH 1324,,MATH 1324,MATH 1324,MATH 1324,MATH 1324,BUSI 1355
Calculus for Business & Social Sciences,MATH,1325,MATH 131,MATH 1325,MATH 1325,MATH 1325,MATH 1325,,,MATH 1325,MATH 1325,MATH 1325,MATH 1325,MATH 1325,MTH 328,MATH 1325,MATH 1325,MATH 1308,MATH 1325,,,,,,,,MATH 608B,,MATH 1325,,MATH 1325,MATH 1325,BSAD 2304,MATH 1325,,MATH 1325,MATH 1325,MAT 2365,,MATH 1325,MATH 1325,MATH 1325,,MATH 1325,MATH 1325,MATH 1325,MATH 1325,MATH 1503,,MATH 1325,,,,,,MATH 1325,,MATH 1325,,MATH 1325,MATH 1325,MATH 1325,MATH 1325,MATH 1325,MATH 1325,,MATH 1325,MTH 309,MATH 1325,,,MATH 1325,MATH 1325,,MATH 1325,,,MATH 1325,,,,MATH 1325,BUS30 154,,MATH 1325,MTH 144,MATH 1325,MATH 1325,MATH 1325,MATH 1325,MATH 1325,MATH 1325,MATH 142,MATH 176,MATH 1325,MATH 142,MATH 1325,MATH 1325,MATH 135,MATH 1325,,MATH 1325,,,,MATH 1329,MATH 1331,MAT 1310,,MATH 1325,MATH 1325,MATH 1314,MATH 1325,MATH 1306,MATH 1325,,MATH 1190,MATH 1190,MATH 1353,MATH 1325,MATH 1316,M 303K,MATH 1325,MATH 2301,MAT 1033,MATH 1325,,,,,,MATH 1325,,MATH 1325,MATH 1325,MATH 1325,MATH 1325,
Contemporary Mathematics (Quantitative Reasoning),MATH,1332,MATH 120,MATH 1332,MATH 1332,MATH 1332,MATH 1332,MATH 1332,MTH 1301,MATH 1332,MATH 1332,MATH 1332,,MATH 1332,,MATH 1332,MATH 1332,,MATH 1332,,,,,,,,MATH 602A,,MATH 1332,,MATH 1332,MATH 1332,MATH 1301,MATH 1332,MATH 1305,MATH 1332,MATH 1332,MAT 1332,,MATH 1332,MATH 1332,MATH 1332,,MATH 1332,,MATH 1332,MATH 1332,,,MATH 1332,,,,,,MATH 1332,MATH 1315,MATH 1332,MATH 1053,MATH 1332,MATH 1332,MATH 1332,,MATH 1332,MATH 1332,,MATH 1332,MATH 1332,MATH 1332,,MATH 1332,MATH 1332,MATH 1332,,MATH 1332,,,MATH 1332,MATH 1332,,MATH 1311,MATH 1332,MAT52 104,,MATH 1332,MTH 110,MATH 1332,MATH 1332,MATH 1332,MATH 1332,MATH 1332,MATH 1332,MATH 166,,MATH 1332,MATH 166,,MATH 1332,,MATH 1332,,MATH 1332,,,,MATH 1316,MATH 1300,,MATH 1013,MATH 1332,MATH 1332,MATH 1311,MATH 1332,MATH 1310,,MATH 1304,MATH 1580,MATH 1580,MATH 1351,MATH 1332,MATH 1301,M 302,,,MAT 1043,MATH 1332,,,MATH 1332,,MATH 1332,MATH 1332,,MATH 1332,,MATH 1332,,
Contemporary Mathematics II (Math for Liberal Arts Majors II),MATH,1333,,,,,,MATH 1333,,,,,,,,,,,,,,,,,,,,,MATH 1333,,,,,,,,,,,,MATH 1333,,,,,,MATH 1333,,,,,,,,,MATH 1333,MATH 1315,,,,,,,,MATH 1333,,,MATH 1333,,,,,,,,,,,,,,,MAT52 003,,,,,,,,,MATH 1333,,,,,,,,,,,,,,,,,MATH 1023,MATH 1333,,,,,,,,,MATH 1999,,,,,MATH 1319,,MATH 1333,,,,,,,,,,MATH 1333,,
"Elementary Statistical Methods (3 SCH version, freshman level)",MATH,1342,MATH 123,MATH 1342,MATH 1342,MATH 1342,MATH 1342,MATH 1342,,MATH 1342,MATH 1342,MATH 1342,MATH 1342,MATH 1342,,MATH 1342,MATH 1342,MATH 2301,MATH 1342,,,,,,,,MATH 306,MATH 1342,MATH 1342,,MATH 1342,MATH 1342,,MATH 1342,,MATH 1342,MATH 1342,,,MATH 1342,MATH 1342,MATH 1342,,MATH 1342,MATH 1342,MATH 1342,MATH 1342,MATH 1423,,MATH 1342,,,,,,MATH 1342,,MATH 1342,,,MATH 1342,,MATH 1342,,,,,MTH 343,MATH 1342,,MATH 1342,MATH 1342,,,MATH 1342,,,MATH 1342,,,,MATH 1342,MAT52 114,,,MTH 220,MATH 1342,MATH 1342,MATH 1342,,,MATH 1342,STAT 201,,,STAT 201,STAT 1342,MATH 1342,MATH 231,MATH 1342,,MATH 1342,,,,MATH 2328,MATH 2300,,MATH 1703,MATH 1342,MATH 1342,MATH 2311,MATH 1342,STAT 2300,,MATH 2303,MATH 1680,MATH 1680,,MATH 1342,MATH 1308,SDS 301,STAT 1342,,STA 1053,MATH 1342,,,,MATH 2303,MATH 1342,MATH 1342,MATH 1306,MATH 1342,,MATH 1342,MATH 1342,
Mathematics for Teachers I (Fundamentals of Mathematics I),MATH,1350,,MATH 1350,MATH 1350,MATH 1350,MATH 1350,MATH 1350,,MATH 1350,MATH 1350,MATH 1350,MATH 1350,MATH 1350,MATH 1350,MATH 1350,MATH 1350,,MATH 1350,,,,,,,,MATH 1350,,MATH 1350,,MATH 1350,MATH 1350,,MATH 1350,,MATH 1350,MATH 1350,MAT 1471,,MATH 1350,MATH 1350,,,MATH 1350,MATH 1350,MATH 1350,MATH 1350,,,MATH 1350,,,,,,MATH 1350,,MATH 1350,MATH 2033,MATH 1350,MATH 1350,MATH 1350,MATH 1350,MATH 1350,MATH 1350,,MATH 1350,MATH 1350,MATH 1350,,,MATH 1350,MATH 1350,,MATH 1350,,,MATH 1350,MATH 1350,,,MATH 1350,MAT52 104,,MATH 1350,MTH 127,,,MATH 1350,MATH 1350,MATH 1350,MATH 1350,,,SMTE 1350,,MATH 1350,MATH 1350,,MATH 1350,,MATH 1350,,,,MATH 2311,MATH 2370,,MATH 1533,MATH 1350,MATH 1350,,MATH 1350,,,MATH 2304,MATH 1350,MATH 1350,MATH 2437,MATH 1350,,M 316K,,MATH 2303,MAT 1153,MATH 1350,,,,,MATH 1350,MATH 1350,MATH 2304,MATH 1350,MATH 1350,MATH 1350,MATH 1350,
Mathematics for Teachers II (Fundamentals of Mathematics II),MATH,1351,,MATH 1351,MATH 1351,MATH 1351,MATH 1351,MATH 1351,,MATH 1351,,MATH 1351,MATH 1351,MATH 1351,MATH 1351,MATH 1351,MATH 1351,,MATH 1351,,,,,,,,MATH 1351,,MATH 1351,,MATH 1351,MATH 1351,,MATH 1351,,MATH 1351,MATH 1351,,,MATH 1351,MATH 1351,,,,,MATH 1351,MATH 1351,,,MATH 1351,,,,,,MATH 1351,,MATH 1351,MATH 2043,MATH 1351,MATH 1351,MATH 1351,MATH 1351,MATH 1351,MATH 1351,,MATH 1351,MATH 1351,MATH 1351,,,MATH 1351,MATH 1351,,MATH 1351,,,MATH 1351,MATH 1351,,,MATH 1351,MAT52 003,,MATH 1351,MTH 128,,,MATH 1351,MATH 1351,MATH 1351,MATH 1351,,,SMTE 1351,,MATH 1351,MATH 1351,,MATH 1351,,MATH 1351,,,,MATH 2312,,,MATH 1543,MATH 1351,MATH 1351,MATH 1312,MATH 1351,,,MATH 2305,MATH 1351,MATH 1351,MATH 2437,MATH 1351,,M 316L,,,MAT 1163,MATH 1351,,,,,MATH 1351,MATH 1351,MATH 2305,MATH 1351,MATH 1351,MATH 1351,MATH 1351,
College Algebra (4 SCH version),MATH,1414,MATH 109,,MATH 1414,MATH 1414,,,,MATH 1414,MATH 1414,MATH 1414,,,,,MATH 1414,MATH 1303,MATH 1414,,,,,,,,,,,,,,,,,,,,,MATH 1414,,,,,,,,,,,,,,,,,,MATH 1414,,,,MATH 1414,,MATH 1414,,,MATH 1414,,,,,,MATH 1414,,,,,,MATH 1414,,,,,,MATH 1414,,,MATH 1314,,,,,MATH 102,,,MATH 102,,,,,,,,,,,MATH 1420,,MATH 1303,,MATH 1414,,,,,,,,MATH 1331,MATH 1414,,M 401,,,,,,,,,MATH 1414,,,,,MATH 1414,,
Calculus for Business & Social Sciences,MATH,1425,MATH 131,,,,,MATH 1425,,,,,,,,,,MATH 1308,MATH 1425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATH 1425,,,,MAT52 004,,,,,MATH 1325,,,,,MATH 142,,,MATH 142,,,,,,,,,,,MATH 1331,,,,,,,,,,,,MATH 1353,,,M 403K,,,,,,,,,,,,,,MATH 1425,,
"Elementary Statistical Methods (4 SCH version, freshman level)",MATH,1442,MATH 123,,,,,,,,,,,,MATH 1442,,,,MATH 1442,,,,,,,,,,,,,,,,,,MATH 1442,,,MATH 1442,,,,,,,,,,,,,,,,,,MATH 1442,,,,MATH 1442,,MATH 1442,MATH 1442,,MATH 1442,,,,,,MATH 1442,,,,,MATH 1442,MATH 1442,,,,MAT52 114,,MATH 1442,,,MATH 1342,,MATH 1442,MATH 1442,,STAT 201,,MATH 1442,STAT 201,,,,,,MATH 1442,,,,,MATH 2300,,MATH 1703,,MATH 1442,,,,,,,,MATH 3332L,,,SDS 401,,,ES 1314,,,,,,,,,,,MATH 1442,,
Discrete Mathematics,MATH,2305,MATH 227,,MATH 2305,,MATH 2305,,,,,,,,,,MATH 2305,,MATH 2305,,,,,,,,,,MATH 2305,,MATH 2305,MATH 2305,MATH 1315,,,MATH 2305,,,,,,,,MATH 2305,MATH 2305,,MATH 2305,MATH 1803,,MATH 2305,,,,,,MATH 2305,MATH 2315,,,,,,,,,,,,,,,,,,,,,MATH 2305,,,,,MAT52 003,,,,,,,MATH 2305,,,,,MATH 2305,,,MATH 2305,,MATH 2305,,MATH 2305,,,,MATH 2358,,,,,,,MATH 2305,,,,MATH 2000,MATH 2770,MATH 1999,MATH 2305,,,CS 2305,MATH 2300,CS 2233,,,,,,,,,,,,,
